key_output	ABL1_0	ABL1_2	ARID1A_0	ARID1A_2	AXIN1_0	AXIN1_2	CBFB_0	CBFB_2	CCND1_0	CCND1_2	CDK6_0	CDK6_2	CREBBP_0	CREBBP_2	EP300_0	EP300_2	ESR1_0	ESR1_2	GATA3_0	GATA3_2	H3F3A_0	H3F3A_2	IL2_0	IL2_2	KMT2A_0	KMT2A_2	LIFR_0	LIFR_2	LMO1_0	LMO1_2	MYB_0	MYB_2	NFATC2_0	NFATC2_2	NR4A3_0	NR4A3_2	PAX5_0	PAX5_2	PBRM1_0	PBRM1_2	PML_0	PML_2	PTPN11_0	PTPN11_2	RSPO3_0	RSPO3_2	RUNX1_0	RUNX1_2	SMARCA4_0	SMARCA4_2	SRC_0	SRC_2	TAL1_0	TAL1_2	TCF3_0	TCF3_2	MIR675_0	MIR675_2	control
549142	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	2	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8878073	1	1	1	1	1	1	0	2	2	0	2	0	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	2	0	1
8937995	1	1	1	1	1	1	0	2	2	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	2	0	1
8938111	1	1	1	1	1	1	2	0	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	0	2	1
8938113	1	1	1	1	1	1	2	0	0	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	0	2	1
8938182	1	1	1	1	1	1	0	2	2	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	2	0	1
8938220	1	1	0	2	1	1	0	2	2	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	0	2	0	2	1	1	1	1	1	1	2	0	1
8938885	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	0	2	1	1	1	1	1	1	1	1	2	0	1
8956549	1	1	1	1	1	1	0	2	2	0	2	0	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	0	2	0	2	2	0	1
8956675	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
